Maternal and child welfare services in England, 1918-1938 (Source: Harris, Origins of the British Welfare State, p. 236);;;;;;
;;;;;;
Number of health visitors;;;;;;
;Maintained by local authorities;Maintained by voluntary organisations;TOTAL;;% maintained by local authorities;% maintained by voluntary organisations
1918;1724;1453;;1918;;
1919;1879;1480;;1919;;
1920;2278;937;;1920;;
1921;2328;1050;;1921;;
1922;2017;1491;;1922;;
1923;2017;1618;;1923;;
1924;2083;1643;;1924;;
1925;2181;1697;;1925;;
1926;2230;1733;;1926;;
1927;2280;1761;;1927;;
1928;2315;1816;;1928;;
1929;2616;2279;;1929;;
1930;2606;2233;;1930;;
1931;2680;2267;;1931;;
1932;2708;2327;;1932;;
1933;2737;2276;;1933;;
1934;2809;2289;;1934;;
1935;2901;2294;;1935;;
1936;3115;2165;;1936;;
1937;3320;2030;;1937;;
1938;3451;2022;;1938;;
